Question;Answer 1;Answer 2;CA 1;CA 2;CA 3;CA 4;CA 5;Level;Category;Confirmed;Photo Id;Photo Url
AEK - PAOK Greek Cup Final 17/18 0 - 2;Biseswar;Shakhov;Biseswar;.;.;.;.;Hard;Who Is Missing;TRUE;AEKvsPAOKcupfinal17_18_eoquwo;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724682615/Questions/Who_Is_Missing/AEKvsPAOKcupfinal17_18_eoquwo.png
AEK - Olympiacos Greek Cup Final 19/20 0 - 1;Fortounis;Valbuena;Valbuena;.;.;.;.;Hard;Who Is Missing;TRUE;AEKvsOLYcupfinal19_20_mr8a2c;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724682476/Questions/Who_Is_Missing/AEKvsOLYcupfinal19_20_mr8a2c.png
AEK - PAOK Greek Cup Final 22/23 2 - 0;Pineda;Mantalos;Pineda;.;.;.;.;Hard;Who Is Missing;TRUE;AEKvsPAOKfinal22_23_kawjdu;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724682655/Questions/Who_Is_Missing/AEKvsPAOKfinal22_23_kawjdu.png
Barcelona - Liverpool Champions League Semi-final 18/19 3 - 0;Lenglet;Umtiti;Lenglet;.;.;.;.;Hard;Who Is Missing;TRUE;BFCvsLFC18_19_ltfdr8;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724682935/Questions/Who_Is_Missing/BFCvsLFC18_19_ltfdr8.png
Chelsea - Arsenal Europa League Final 18/19 4 - 1;Pedro;Willian;Pedro;.;.;.;.;Hard;Who Is Missing;TRUE;CHEvsARS18_19EUL_yfbdl2;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724682965/Questions/Who_Is_Missing/CHEvsARS18_19EUL_yfbdl2.png
Dortmund - Bayern Champions League Final 12/13 1 - 2;Subotic;Santana;Subotic;.;.;.;.;Hard;Who Is Missing;TRUE;DORvsBAYCLfinal12_13_omgtav;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724683051/Questions/Who_Is_Missing/DORvsBAYCLfinal12_13_omgtav.png
Germany - Argentina World Cup Final 13/14 0 - 1;Di Maria;Lavezzi;Lavezzi;.;.;.;.;Hard;Who Is Missing;TRUE;GERvsARG_13_14final_uiknl4;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724683243/Questions/Who_Is_Missing/GERvsARG_13_14final_uiknl4.png
Germany - Spain World Cup Semi-final 09/10 0 - 1;Podolski;Marko Marin;Podolski;.;.;.;.;Hard;Who Is Missing;TRUE;GERvsSPA09_10mudial_mlpjtb;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724683404/Questions/Who_Is_Missing/GERvsSPA09_10mudial_mlpjtb.png
Greece - Costa Rica World Cup Quarter-final 13/14 1 - 1;Maniatis;Katsouranis;Maniatis;.;.;.;.;Hard;Who Is Missing;TRUE;GREvsCOST13_14_dvboxl;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724683523/Questions/Who_Is_Missing/GREvsCOST13_14_dvboxl.png
Spain - England Euro Final 23/24 2 - 1;Trippier;Guehi;Guehi;.;.;.;.;Hard;Who Is Missing;TRUE;ENGvsSPA_wo7iln;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724683554/Questions/Who_Is_Missing/ENGvsSPA_wo7iln.png
Juventus - Barcelona Champions League Final 14/15 1 - 3;Tevez;"Llorente	";Tevez;.;.;.;.;Hard;Who Is Missing;TRUE;BARvsJUVECLfinal14_15_ibrulb;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724682857/Questions/Who_Is_Missing/BARvsJUVECLfinal14_15_ibrulb.png
Manchester City - Inter Champions League Final 22/23 1-0;Acebri;de Vrij;Acebri;.;.;.;.;Hard;Who Is Missing;TRUE;MCvsInterfinal22_23_k9newz;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724683613/Questions/Who_Is_Missing/MCvsInterfinal22_23_k9newz.png
Argentina - France World Cup Final 21/22 3 - 3;Montil;Molina;Molina;.;.;.;.;Hard;Who Is Missing;TRUE;FRAvsARGMudialfinal21_22_iuqdxv;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724683070/Questions/Who_Is_Missing/FRAvsARGMudialfinal21_22_iuqdxv.png
Olympiacos - PAOK Greek Cup Final 20/21 1 - 2;Masouras;Fortounis;Masouras;.;.;.;.;Hard;Who Is Missing;TRUE;OLYvsPAOKcupfinal20_21_kbnbcj;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724683642/Questions/Who_Is_Missing/OLYvsPAOKcupfinal20_21_kbnbcj.png
PAO - PAOK Greek Cup Final 21/22 1 - 0;Villafanez;Kourbelis;Villafanez;.;.;.;.;Hard;Who Is Missing;TRUE;PAOvsPAOK21_22final_xzvnuj;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724683687/Questions/Who_Is_Missing/PAOvsPAOK21_22final_xzvnuj.png
Portugal - France EURO Final 15/16 1 - 0;Matuidi;Kante;Matuidi;.;.;.;.;Hard;Who Is Missing;TRUE;PORvsFRA15_16euro_tvk8x8;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724683702/Questions/Who_Is_Missing/PORvsFRA15_16euro_tvk8x8.png
Portugal - Wales EURO Semi-Final 15/16 2 - 0;Pepe;Bruno Alves;Bruno Alves;.;.;.;.;Hard;Who Is Missing;TRUE;PORvsWALLESeuro15_16_gs5dpp;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724683725/Questions/Who_Is_Missing/PORvsWALLESeuro15_16_gs5dpp.png
Spain - Italy EURO Final 11/12 4 - 0;Cassano;Di Natale;Cassano;.;.;.;.;Hard;Who Is Missing;TRUE;SPAvsITAeuro11_12final_bvnj15;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724683748/Questions/Who_Is_Missing/SPAvsITAeuro11_12final_bvnj15.png
Villareal - Manchester United Europa League Final 20/21 ;Bailly;Lindelof ;Lindelof ;.;.;.;.;Hard;Who Is Missing;TRUE;VREALvsMANU_20_21EUL_final_wg2bq0;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724683786/Questions/Who_Is_Missing/VREALvsMANU_20_21EUL_final_wg2bq0.png
Which team's logo is this?;Athletic Bilbao;Atletico Madrid;Athletic Bilbao;.;.;.;.;Easy;Logo Quiz;TRUE;logo1_utaaw3;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724684517/Questions/Logo%20Quiz/Easy/logo1_utaaw3.png
Which team's logo is this?;Rosario Central;Boca Juniors;Boca Juniors;.;.;.;.;Easy;Logo Quiz;TRUE;logo2_mjtm8w;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724684518/Questions/Logo%20Quiz/Easy/logo2_mjtm8w.png
Which team's logo is this?;Brentford;Sheffield United;Brentford;.;.;.;.;Easy;Logo Quiz;TRUE;logo3_yungwf;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724684519/Questions/Logo%20Quiz/Easy/logo3_yungwf.png
Which team's logo is this?;Rangers;Espanyol;Espanyol;.;.;.;.;Easy;Logo Quiz;TRUE;logo4_f9fzt0;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724684520/Questions/Logo%20Quiz/Easy/logo4_f9fzt0.png
Which team's logo is this?;Fenerbahce;Ankaragucu;Fenerbahce;.;.;.;.;Easy;Logo Quiz;TRUE;logo5_qo1vkx;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724684521/Questions/Logo%20Quiz/Easy/logo5_qo1vkx.png
Which team's logo is this?;Austria Wien;Fiorentina;Fiorentina;.;.;.;.;Easy;Logo Quiz;TRUE;logo6_mzz9gv;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724684494/Questions/Logo%20Quiz/Easy/logo6_mzz9gv.png
Which team's logo is this?;Fulham;Guimaraes;Fulham;.;.;.;.;Easy;Logo Quiz;TRUE;logo7_k0dbby;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724684495/Questions/Logo%20Quiz/Easy/logo7_k0dbby.png
Which team's logo is this?;Genk;Gent;Gent;.;.;.;.;Easy;Logo Quiz;TRUE;logo8_en7bzp;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724684495/Questions/Logo%20Quiz/Easy/logo8_en7bzp.png
Which team's logo is this?;Inter Miami;Inter Milan;Inter Miami;.;.;.;.;Easy;Logo Quiz;TRUE;logo9_cxgh4n;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724684508/Questions/Logo%20Quiz/Easy/logo9_cxgh4n.png
Which team's logo is this?;Red Star;Larisa;Larisa;.;.;.;.;Easy;Logo Quiz;TRUE;logo10_u6tjqh;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724684509/Questions/Logo%20Quiz/Easy/logo10_u6tjqh.png
Which team's logo is this?;Monaco;Red Star;Monaco;.;.;.;.;Easy;Logo Quiz;TRUE;logo11_dcqwfu;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724684509/Questions/Logo%20Quiz/Easy/logo11_dcqwfu.png
Which team's logo is this?;Real Zaragoza;PSV;PSV;.;.;.;.;Easy;Logo Quiz;TRUE;logo12_vbronu;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724684510/Questions/Logo%20Quiz/Easy/logo12_vbronu.png
Which team's logo is this?;Rangers;Espanyol;Rangers;.;.;.;.;Easy;Logo Quiz;TRUE;logo13_nkslnx;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724684511/Questions/Logo%20Quiz/Easy/logo13_nkslnx.png
Which team's logo is this?;Monaco;Red Star;Red Star;.;.;.;.;Easy;Logo Quiz;TRUE;logo14_ufp164;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724684511/Questions/Logo%20Quiz/Easy/logo14_ufp164.png
Which team's logo is this?;Slovan Bratislava;Banik Ostrava;Slovan Bratislava;.;.;.;.;Easy;Logo Quiz;TRUE;logo15_bqj9if;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724684512/Questions/Logo%20Quiz/Easy/logo15_bqj9if.png
Which team's logo is this?;Slavia Prague;Sparta Prague;Sparta Prague;.;.;.;.;Easy;Logo Quiz;TRUE;logo16_mphzk5;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724684513/Questions/Logo%20Quiz/Easy/logo16_mphzk5.png
Which team's logo is this?;Stoke;Sunderland;Stoke;.;.;.;.;Easy;Logo Quiz;TRUE;logo17_oqohth;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724684514/Questions/Logo%20Quiz/Easy/logo17_oqohth.png
Which team's logo is this?;Ipswich;Twente;Twente;.;.;.;.;Easy;Logo Quiz;TRUE;logo18_qfmlpj;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724684515/Questions/Logo%20Quiz/Easy/logo18_qfmlpj.png
Which team's logo is this?;West Ham;Aston Villa;West Ham;.;.;.;.;Easy;Logo Quiz;TRUE;logo19_mbl8op;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724684516/Questions/Logo%20Quiz/Easy/logo19_mbl8op.png
Which team's logo is this?;Go Ahead Eagles;Willem;Willem;.;.;.;.;Easy;Logo Quiz;TRUE;logo20_zrzvub;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724684516/Questions/Logo%20Quiz/Easy/logo20_zrzvub.png
Which team's logo is this?;AEK Larnakas;Omonia;AEK Larnakas;.;.;.;.;Medium;Logo Quiz;TRUE;logo1_vvcan8;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724684973/Questions/Logo%20Quiz/Medium/logo1_vvcan8.png
Which team's logo is this?;Girona;Almeria;Almeria;.;.;.;.;Medium;Logo Quiz;TRUE;logo2_sogqvp;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724684976/Questions/Logo%20Quiz/Medium/logo2_sogqvp.png
Which team's logo is this?;Angers;Newcastle United;Angers;.;.;.;.;Medium;Logo Quiz;TRUE;logo3_uajwhg;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724684975/Questions/Logo%20Quiz/Medium/logo3_uajwhg.png
Which team's logo is this?;Bristol Rovers;Backburn;Backburn;.;.;.;.;Medium;Logo Quiz;TRUE;logo4_j26eef;https://res.cloudinary.com/dlmdnbstg/image/upload/v1724684976/Questions/Logo%20Quiz/Medium/logo4_j26eef.png
